"","node_id","distance","rssi"
"1","377E5F",200.024039080155,-102
"2","3765DD",322.453444051964,-108
"3","33D76B",181.717609921949,-104
"4","3B3B89",256.892447638586,-92
"5","32841A",141.109853603482,-93
"6","326572",335.376915330968,-108
"7","327749",252.115068170231,-102
"8","326543",33.3909891576807,-67
"9","328FAF",347.176949335116,-100
"10","339BB0",323.376288280055,-101
"11","379B89",114.331550111197,-81
"12","326039",312.744289710424,-107
"13","328D0C",390.604655270564,-103
"14","33DA3C",119.199631606851,-94
"15","328CCF",365.532800322998,-107
"16","3648E1",230.089210226765,-98
"17","33D76B",182.960530377713,-99
"18","3B3B89",256.467742207202,-101
"19","32841A",142.804766879084,-100
"20","326543",33.7601525854052,-67
"21","379B89",113.45746671119,-80
"22","326039",314.287593691615,-109
"23","3282EC",211.702176685652,-97
"24","33DA3C",120.294929086091,-100
"25","328CCF",367.213480480639,-109
"26","37824B",219.113157799683,-103
"27","377E5F",196.443937017923,-105
"28","33D76B",186.138594387621,-95
"29","3B3B89",254.563644004496,-109
"30","326572",336.941489974355,-109
"31","327749",252.692969980075,-108
"32","326543",33.6022037577506,-70
"33","339CAE",88.6796696906703,-83
"34","328FAF",344.39613199279,-112
"35","379B89",110.83157173498,-96
"36","33DA3C",121.564537307804,-108
"37","328CCF",370.223700905083,-104
"38","3648E1",234.405322965518,-96
"39","3765DD",326.560267459955,-108
"40","33D76B",192.075090816152,-94
"41","3B3B89",250.194163448683,-105
"42","327749",251.367103754383,-97
"43","326543",32.6991921510215,-77
"44","339CAE",94.6845899173588,-84
"45","339BB0",313.710575593483,-108
"46","379B89",105.522090967394,-90
"47","326039",319.942276357564,-103
"48","3282EC",220.899267290465,-94
"49","33DA3C",122.563533764606,-96
"50","328CCF",374.597132638366,-100
"51","3648E1",238.114507361784,-99
"52","33D76B",198.881452312463,-92
"53","3B3B89",244.516274474361,-98
"54","326572",335.41470181589,-110
"55","327749",248.802934252321,-97
"56","326543",31.7200274914203,-71
"57","339CAE",101.428792099172,-90
"58","328FAF",333.539951983707,-110
"59","339BB0",306.972948453535,-106
"60","379B89",99.0659590179013,-83
"61","3282EC",226.942598675277,-93
"62","3648E1",241.376845692424,-107
"63","37824B",220.725430795373,-106
"64","33D76B",203.759762091518,-94
"65","3B3B89",240.327477287006,-103
"66","32841A",158.216817596731,-89
"67","326543",31.6462378652669,-67
"68","339CAE",106.2421680502,-93
"69","339BB0",302.099136010111,-107
"70","379B89",94.3718248550016,-81
"71","3282EC",231.190098486992,-95
"72","33DA3C",122.897704828536,-99
"73","328CCF",381.420448269863,-101
"74","3648E1",243.582475436076,-94
"75","377E5F",179.721414973658,-102
"76","3B3B89",234.235389690905,-95
"77","32841A",163.098573151863,-83
"78","326572",332.795208332817,-106
"79","326543",32.9858017660062,-66
"80","379B89",87.5031074621952,-78
"81","3282EC",237.556624229765,-90
"82","328CCF",385.648401291304,-102
"83","3648E1",247.063099471759,-105
"84","377E5F",172.713197970364,-100
"85","37824B",221.313700952556,-106
"86","32841A",166.08920432481,-89
"87","326572",331.097734442881,-107
"88","327749",241.606686681771,-103
"89","326543",34.116956359707,-64
"90","328FAF",317.644419879085,-103
"91","3282EC",241.709178663015,-97
"92","328D0C",376.581311789468,-110
"93","33DA3C",123.462132957283,-106
"94","328CCF",388.061563685385,-106
"95","3648E1",248.94819031742,-102
"96","37824B",221.023912715703,-97
"97","33D76B",216.001580961648,-99
