"","node_id","n_lat","avg_lat","sd_lat","n_lon","avg_lon","sd_lon"
"1","326039",1731,38.9348276233391,1.76348711480116e-05,1731,-74.944704281918,1.17576300172883e-05
"2","326543",1703,38.9357473282443,3.59631577330191e-05,1703,-74.9478922513212,3.24736215326722e-05
"3","326572",1735,38.9365391216138,1.76044803247366e-05,1735,-74.9445270455331,1.53721126425401e-05
"4","32660E",1708,38.939132,0,1708,-74.948616,0
"5","326710",1716,38.936648,0,1716,-74.946824,0
"6","3274F4",1719,38.937484,0,1719,-74.945568,0
"7","327749",1734,38.9367092041523,2.04378744241222e-05,1734,-74.9456815317186,1.58800276225455e-05
"8","3282EC",1730,38.9339829872832,1.85924871524603e-05,1730,-74.9468598473988,1.55540757726063e-05
"9","32841A",1153,38.9348648256722,2.21575396329217e-05,1153,-74.9468309592368,1.78519928683129e-05
"10","328CCF",1740,38.9339082091954,2.34497474874141e-05,1740,-74.9445419034483,1.92400737170046e-05
"11","328D0C",1733,38.9375897010964,2.14236003330048e-05,1733,-74.9445081777265,1.25440853129557e-05
"12","328FAF",1729,38.938489010989,1.96973746721454e-05,1729,-74.9468013556969,1.61283596568251e-05
"13","32909D",1697,38.933988,0,1697,-74.94568,0
"14","339BB0",1736,38.9384669746544,2.44938489576831e-05,1736,-74.948049,2.04018420366952e-05
"15","339CAE",1249,38.934821469976,3.45970059948139e-05,1249,-74.9479963490793,2.89737917806746e-05
"16","33D76B",1686,38.9339353902728,3.00566942083534e-05,1686,-74.9479795492289,3.56942623445766e-05
"17","33DA3C",1730,38.9357443537572,3.35693088484303e-05,1730,-74.9468371699422,5.28162130769127e-05
"18","3648E1",1737,38.9348199147956,1.90938047859925e-05,1737,-74.9457112769142,2.07267137145808e-05
"19","3765DD",1736,38.9357693617511,2.17500183218631e-05,1736,-74.9444765576037,2.54447498840054e-05
"20","377E5F",1739,38.9373394847614,2.63601936245473e-05,1739,-74.9478479171938,2.4383445259596e-05
"21","37824B",1724,38.9357540719258,2.2636534617362e-05,1724,-74.9457046589327,2.46017077347841e-05
"22","379B89",1735,38.9365752161383,2.56609733363058e-05,1735,-74.9479776691643,3.05559227936701e-05
"23","3B3B89",1728,38.9376370787037,2.52293394549071e-05,1728,-74.9468919398148,2.95907791385917e-05
