"","tag_type","tag_id","time_utc","rssi","lat","lon","heading","antenna_angle"
"2","radio434mhz","072A6633",2023-08-03 19:42:45,-25,38.935561,-74.948195,23.548,0
"5","radio434mhz","072A6633",2023-08-03 19:42:56,-25,38.935571,-74.94821,20.136,0
"8","radio434mhz","072A6633",2023-08-03 19:43:06,-25,38.935598,-74.94823,24.316,0
"11","radio434mhz","072A6633",2023-08-03 19:43:17,-26,38.93565,-74.948249,31.574,0
"14","radio434mhz","072A6633",2023-08-03 19:43:28,-25,38.935711,-74.948256,40.645,0
"17","radio434mhz","072A6633",2023-08-03 19:43:38,-25,38.935755,-74.948258,36.012,0
"21","radio434mhz","072A6633",2023-08-03 19:43:49,-25,38.93582,-74.948262,33.996,0
"24","radio434mhz","072A6633",2023-08-03 19:44:00,-25,38.935866,-74.948256,32.597,0
"27","radio434mhz","072A6633",2023-08-03 19:44:10,-25,38.935923,-74.948247,27.351,0
"30","radio434mhz","072A6633",2023-08-03 19:44:21,-25,38.935987,-74.948257,22.721,0
"33","radio434mhz","072A6633",2023-08-03 19:44:32,-25,38.936078,-74.948266,30.727,0
"36","radio434mhz","072A6633",2023-08-03 19:44:42,-26,38.936151,-74.948267,28.071,0
"39","radio434mhz","072A6633",2023-08-03 19:44:53,-25,38.936227,-74.948288,27.366,0
"42","radio434mhz","072A6633",2023-08-03 19:45:04,-25,38.936303,-74.948297,43.625,0
"45","radio434mhz","072A6633",2023-08-03 19:45:15,-26,38.936369,-74.948293,49.306,0
"48","radio434mhz","072A6633",2023-08-03 19:45:25,-26,38.936418,-74.948245,75.441,0
"51","radio434mhz","072A6633",2023-08-03 19:45:36,-25,38.936427,-74.948151,61.996,0
"54","radio434mhz","072A6633",2023-08-03 19:45:47,-25,38.93644,-74.948064,58.966,0
"57","radio434mhz","072A6633",2023-08-03 19:45:57,-25,38.936473,-74.947995,64.841,0
"60","radio434mhz","072A6633",2023-08-03 19:46:08,-25,38.936492,-74.947897,52.826,0
"63","radio434mhz","072A6633",2023-08-03 19:46:19,-25,38.936529,-74.947823,47.791,0
"67","radio434mhz","072A6633",2023-08-03 19:46:30,-26,38.936577,-74.947783,36.855,0
"70","radio434mhz","072A6633",2023-08-03 19:46:40,-26,38.936628,-74.94776,45.379,0
"73","radio434mhz","072A6633",2023-08-03 19:46:51,-25,38.936695,-74.947725,38.139,0
"77","radio434mhz","072A6633",2023-08-03 19:47:02,-26,38.936763,-74.94771,38.126,0
"80","radio434mhz","072A6633",2023-08-03 19:47:12,-26,38.936813,-74.947697,40.098,0
"83","radio434mhz","072A6633",2023-08-03 19:47:23,-25,38.93687,-74.94768,39.79,0
"86","radio434mhz","072A6633",2023-08-03 19:47:34,-25,38.93694,-74.947654,35.856,0
"88","radio434mhz","072A6633",2023-08-03 19:47:45,-25,38.936999,-74.947642,37.934,0
"91","radio434mhz","072A6633",2023-08-03 19:47:55,-25,38.937029,-74.947637,40.868,0
"96","radio434mhz","072A6633",2023-08-03 19:50:36,-25,38.93557,-74.948192,21.99,0
"99","radio434mhz","072A6633",2023-08-03 19:50:47,-26,38.935575,-74.948194,69.648,0
"102","radio434mhz","072A6633",2023-08-03 19:50:58,-26,38.935618,-74.948229,53.349,0
"105","radio434mhz","072A6633",2023-08-03 19:51:08,-25,38.93569,-74.948252,74.626,0
"108","radio434mhz","072A6633",2023-08-03 19:51:19,-25,38.935774,-74.94825,75.683,0
"111","radio434mhz","072A6633",2023-08-03 19:51:30,-25,38.935861,-74.948252,67.026,0
"114","radio434mhz","072A6633",2023-08-03 19:51:41,-25,38.935935,-74.948247,75.964,0
"117","radio434mhz","072A6633",2023-08-03 19:51:51,-25,38.936005,-74.948257,67.465,0
"120","radio434mhz","072A6633",2023-08-03 19:52:02,-25,38.936085,-74.948261,55.669,0
"123","radio434mhz","072A6633",2023-08-03 19:52:13,-25,38.936169,-74.948274,82.671,0
"126","radio434mhz","072A6633",2023-08-03 19:52:24,-26,38.936239,-74.948291,70.146,0
"129","radio434mhz","072A6633",2023-08-03 19:52:34,-25,38.936312,-74.948288,86.241,0
"132","radio434mhz","072A6633",2023-08-03 19:52:45,-25,38.936347,-74.948196,82.104,0
"135","radio434mhz","072A6633",2023-08-03 19:52:56,-25,38.936401,-74.948123,95.176,0
"138","radio434mhz","072A6633",2023-08-03 19:53:07,-25,38.936451,-74.948039,97.836,0
"141","radio434mhz","072A6633",2023-08-03 19:53:17,-26,38.936486,-74.947964,91.875,0
"145","radio434mhz","072A6633",2023-08-03 19:53:28,-25,38.936521,-74.947883,91.139,0
"148","radio434mhz","072A6633",2023-08-03 19:53:39,-25,38.93656,-74.947809,83.798,0
"151","radio434mhz","072A6633",2023-08-03 19:53:50,-25,38.936625,-74.947761,78.874,0
"154","radio434mhz","072A6633",2023-08-03 19:54:00,-26,38.936694,-74.947737,74.969,0
"157","radio434mhz","072A6633",2023-08-03 19:54:11,-25,38.936771,-74.94771,65.092,0
"161","radio434mhz","072A6633",2023-08-03 19:54:22,-25,38.936837,-74.947687,67.408,0
"164","radio434mhz","072A6633",2023-08-03 19:54:32,-26,38.936889,-74.947669,71.467,0
"167","radio434mhz","072A6633",2023-08-03 19:54:43,-25,38.936953,-74.947657,79.694,0
"170","radio434mhz","072A6633",2023-08-03 19:54:54,-25,38.93702,-74.947643,69.053,0
"173","radio434mhz","072A6633",2023-08-03 19:55:05,-25,38.937088,-74.947628,79.135,0
"176","radio434mhz","072A6633",2023-08-03 19:55:15,-26,38.937151,-74.947605,82.13,0
"179","radio434mhz","072A6633",2023-08-03 19:55:26,-25,38.937182,-74.947519,86.379,0
"182","radio434mhz","072A6633",2023-08-03 19:55:37,-25,38.93716,-74.947427,122.618,0
"185","radio434mhz","072A6633",2023-08-03 19:55:48,-25,38.937153,-74.94733,100.167,0
"188","radio434mhz","072A6633",2023-08-03 19:55:58,-25,38.937173,-74.947248,86.307,0
"191","radio434mhz","072A6633",2023-08-03 19:56:09,-26,38.93722,-74.947182,96.572,0
"194","radio434mhz","072A6633",2023-08-03 19:56:20,-26,38.937276,-74.947154,60.998,0
"197","radio434mhz","072A6633",2023-08-03 19:56:30,-26,38.937342,-74.947151,74.51,0
"200","radio434mhz","072A6633",2023-08-03 19:56:41,-26,38.937404,-74.947097,71.268,0
"203","radio434mhz","072A6633",2023-08-03 19:56:52,-25,38.937471,-74.947087,48.952,0
"207","radio434mhz","072A6633",2023-08-03 19:57:03,-26,38.937506,-74.947153,52.74,0
"210","radio434mhz","072A6633",2023-08-03 19:57:13,-25,38.937546,-74.947232,68.436,0
"213","radio434mhz","072A6633",2023-08-03 19:57:24,-26,38.937591,-74.947303,69.439,0
"216","radio434mhz","072A6633",2023-08-03 19:57:35,-26,38.937638,-74.947376,72.321,0
"219","radio434mhz","072A6633",2023-08-03 19:57:45,-25,38.93766,-74.947447,66.003,0
"222","radio434mhz","072A6633",2023-08-03 19:57:56,-25,38.93772,-74.947485,104.374,0
"225","radio434mhz","072A6633",2023-08-03 19:58:07,-25,38.937784,-74.947505,91.317,0
"228","radio434mhz","072A6633",2023-08-03 19:58:18,-25,38.937855,-74.947528,105.452,0
"231","radio434mhz","072A6633",2023-08-03 19:58:28,-25,38.937925,-74.947536,131.263,0
"234","radio434mhz","072A6633",2023-08-03 19:58:39,-25,38.938002,-74.947526,119.781,0
"238","radio434mhz","072A6633",2023-08-03 19:58:50,-25,38.938086,-74.947516,138.614,0
"241","radio434mhz","072A6633",2023-08-03 19:59:00,-25,38.938139,-74.947461,14.16,0
"244","radio434mhz","072A6633",2023-08-03 19:59:11,-26,38.938093,-74.947357,10.43,0
"247","radio434mhz","072A6633",2023-08-03 19:59:22,-25,38.938034,-74.947296,36.474,0
"250","radio434mhz","072A6633",2023-08-03 19:59:33,-25,38.938021,-74.947236,100.049,0
"253","radio434mhz","072A6633",2023-08-03 19:59:43,-26,38.938042,-74.94716,96.764,0
"256","radio434mhz","072A6633",2023-08-03 19:59:54,-26,38.938067,-74.947088,82.49,0
"259","radio434mhz","072A6633",2023-08-03 20:00:05,-25,38.938096,-74.94703,105.078,0
"262","radio434mhz","072A6633",2023-08-03 20:00:15,-26,38.938131,-74.947,59.228,0
"265","radio434mhz","072A6633",2023-08-03 20:00:26,-25,38.938157,-74.946929,83.051,0
"269","radio434mhz","072A6633",2023-08-03 20:00:37,-25,38.93814,-74.94684,101.278,0
"272","radio434mhz","072A6633",2023-08-03 20:00:48,-25,38.938154,-74.946757,60.537,0
"275","radio434mhz","072A6633",2023-08-03 20:00:58,-25,38.938135,-74.946687,92.629,0
"278","radio434mhz","072A6633",2023-08-03 20:01:09,-26,38.938115,-74.946612,57.537,0
"281","radio434mhz","072A6633",2023-08-03 20:01:20,-25,38.93812,-74.946547,70.892,0
"284","radio434mhz","072A6633",2023-08-03 20:01:30,-25,38.938088,-74.946473,315.952,0
"287","radio434mhz","072A6633",2023-08-03 20:01:41,-25,38.938002,-74.946435,341.084,0
"290","radio434mhz","072A6633",2023-08-03 20:01:52,-26,38.93793,-74.946402,19.298,0
"293","radio434mhz","072A6633",2023-08-03 20:02:03,-25,38.937851,-74.946394,134.255,0
"296","radio434mhz","072A6633",2023-08-03 20:02:13,-25,38.937789,-74.94637,172.761,0
"299","radio434mhz","072A6633",2023-08-03 20:02:24,-25,38.937727,-74.946403,13.562,0
"302","radio434mhz","072A6633",2023-08-03 20:02:35,-26,38.937664,-74.946415,118.958,0
"305","radio434mhz","072A6633",2023-08-03 20:02:45,-26,38.937606,-74.946347,121.556,0
"308","radio434mhz","072A6633",2023-08-03 20:02:56,-26,38.93756,-74.946298,148.771,0
"311","radio434mhz","072A6633",2023-08-03 20:03:07,-25,38.93751,-74.946259,122.287,0
"314","radio434mhz","072A6633",2023-08-03 20:03:17,-25,38.937463,-74.946212,45.722,0
"317","radio434mhz","072A6633",2023-08-03 20:03:28,-25,38.937409,-74.946145,108.867,0
"321","radio434mhz","072A6633",2023-08-03 20:03:39,-25,38.937393,-74.946073,98.928,0
